sparsity_target,sparsity_actual,num_vars,seed,true_edges,experiment_id,total_experiments,Correlation-pearson_AUROC,Correlation-pearson_AUPRC,Correlation-pearson_training_time,Correlation-pearson_num_true_edges,StructureFlow_AUROC,StructureFlow_AUPRC,StructureFlow_training_time,StructureFlow_num_true_edges
0.02,0.021052631578947368,20,1966,8,1,15,0.9907525510204082,0.6221958596958597,0.05760312080383301,8,0.9915497448979591,0.5721230158730158,52.1532039642334,8
0.02,0.021052631578947368,20,9128,8,2,15,0.9910714285714285,0.6225430819180819,0.048035621643066406,8,0.9878826530612246,0.46689213564213566,53.22796893119812,8
0.02,0.02894736842105263,20,5485,11,3,15,0.9871465295629821,0.5990706661759293,0.03722405433654785,11,0.9873802290254733,0.5839043930551108,54.53244376182556,11
0.05,0.06315789473684211,20,1966,24,4,15,0.9763962765957447,0.6751243687338866,0.05442500114440918,24,0.9751773049645389,0.6404209218368113,51.39635491371155,24
0.05,0.05,20,9128,19,5,15,0.8896256389004006,0.510907681734711,0.06191277503967285,19,0.9324492333195192,0.5205412676299781,52.88839507102966,19
0.05,0.05263157894736842,20,5485,20,6,15,0.915921052631579,0.5419349507713211,0.03452587127685547,20,0.9196052631578948,0.4292107332640355,55.832422971725464,20
0.2,0.21578947368421053,20,1966,82,7,15,0.8516260162601628,0.566597950913167,0.09424901008605957,82,0.8277343150789999,0.5140980955461187,59.24856114387512,82
0.2,0.2026315789473684,20,9128,77,8,15,0.893329580636082,0.6526478605208147,0.08381414413452148,77,0.888766032728881,0.6256271438163706,57.729729890823364,77
0.2,0.21052631578947367,20,5485,80,9,15,0.8796484374999999,0.6236448279986164,0.0308377742767334,80,0.8407031249999999,0.5611565133469582,52.08731412887573,80
0.4,0.4026315789473684,20,1966,153,10,15,0.7749728771400598,0.7010759255278489,0.04962277412414551,153,0.749874308697838,0.6818426056782849,50.21162390708923,153
0.4,0.39473684210526316,20,9128,150,11,15,0.7244,0.6355227194673931,0.041664838790893555,150,0.7218533333333333,0.6211225459655679,50.47986316680908,150
0.4,0.3684210526315789,20,5485,140,12,15,0.7749175824175824,0.684528437244561,0.052839040756225586,140,0.7511126373626373,0.6476964758043154,52.42361116409302,140
0.8,0.7973684210526316,20,1966,303,13,15,0.654724235310129,0.8589511664558427,0.029503822326660156,303,0.6195774216596918,0.8423286736978945,52.690514087677,303
0.8,0.7684210526315789,20,9128,292,14,15,0.6271562658548958,0.8251739440829378,0.03730201721191406,292,0.6254439370877728,0.8135394367088958,53.946656942367554,292
0.8,0.7894736842105263,20,5485,300,15,15,0.6389666666666667,0.8494726781951819,0.04105401039123535,300,0.6357333333333334,0.8418510682531005,50.15651321411133,300
